
Distance Matrix Between All Sequences in Fasta File:

       	s51780 	s168358	s155492	s183298	s208240	s295101	s250160	s303155	s205559	s216880	s191356	s173550	s129428	s61857 	s122680	s164714
s51780 	0.00000	0.43310	0.45965	0.46429	0.45263	0.45455	0.45035	0.46181	0.45833	0.45833	0.46341	0.44983	0.45329	0.45486	0.45993	0.46853
s168358	0.43310	0.00000	0.34520	0.28839	0.28261	0.22137	0.22901	0.23954	0.41751	0.34859	0.23396	0.32103	0.32601	0.32246	0.34672	0.43860
s155492	0.45965	0.34520	0.00000	0.32852	0.40468	0.30742	0.31449	0.32258	0.25641	0.09127	0.30108	0.34286	0.25095	0.20229	0.32364	0.45105
s183298	0.46429	0.28839	0.32852	0.00000	0.34043	0.25000	0.30627	0.30855	0.40068	0.32130	0.20455	0.36531	0.28679	0.24254	0.33210	0.47917
s208240	0.45263	0.28261	0.40468	0.34043	0.00000	0.24444	0.29927	0.30357	0.44912	0.41196	0.24176	0.34164	0.37979	0.35052	0.35088	0.48454
s295101	0.45455	0.22137	0.30742	0.25000	0.24444	0.00000	0.22692	0.24809	0.34007	0.30877	0.17490	0.29710	0.27473	0.27599	0.28309	0.46181
s250160	0.45035	0.22901	0.31449	0.30627	0.29927	0.22692	0.00000	0.12891	0.42193	0.32746	0.24621	0.31481	0.32601	0.31900	0.33456	0.45833
s303155	0.46181	0.23954	0.32258	0.30855	0.30357	0.24809	0.12891	0.00000	0.42953	0.31900	0.24528	0.29851	0.36397	0.31273	0.32472	0.47350
s205559	0.45833	0.41751	0.25641	0.40068	0.44912	0.34007	0.42193	0.42953	0.00000	0.24265	0.39404	0.43478	0.32394	0.30769	0.40878	0.46503
s216880	0.45833	0.34859	0.09127	0.32130	0.41196	0.30877	0.32746	0.31900	0.24265	0.00000	0.30714	0.39223	0.27376	0.21509	0.37993	0.45804
s191356	0.46341	0.23396	0.30108	0.20455	0.24176	0.17490	0.24621	0.24528	0.39404	0.30714	0.00000	0.33083	0.29368	0.23529	0.33088	0.46853
s173550	0.44983	0.32103	0.34286	0.36531	0.34164	0.29710	0.31481	0.29851	0.43478	0.39223	0.33083	0.00000	0.32234	0.32721	0.13178	0.45423
s129428	0.45329	0.32601	0.25095	0.28679	0.37979	0.27473	0.32601	0.36397	0.32394	0.27376	0.29368	0.32234	0.00000	0.22222	0.31698	0.44718
s61857 	0.45205	0.32246	0.20229	0.24254	0.35052	0.27599	0.31900	0.31273	0.30769	0.21509	0.23529	0.32721	0.22222	0.00000	0.31321	0.43110
s122680	0.45993	0.34672	0.32364	0.33210	0.35088	0.28309	0.33456	0.32472	0.40878	0.37993	0.33088	0.13178	0.31698	0.31321	0.00000	0.46667
s164714	0.46853	0.43860	0.45105	0.47917	0.48454	0.46181	0.45833	0.47038	0.46503	0.45804	0.46853	0.45423	0.44718	0.43110	0.46667	0.00000
